Position,Display Name,Designator,Electrical Type,Side
1,MIPI_AVDD1V8/GPIO7_VCC1V8,1,Power,Left
2,VI_CIF_CLKO_M0/MIPI_CLK0_OUT/GPIO3_C4_d,2,Output,Left
3,VI_CIF_VSYNC_M0/GPIO3_C5_d,3,Input,Left
4,VI_CIF_D10/PWM7_IR_M2/MIPI_CLK1_OUT/GPIO3_C6_d,4,I/O,Left
5,VI_CIF_D11/UART5_TX_M2/I2C4_SCL_M2/GPIO3_C7_d,5,I/O,Left
6,VI_CIF_D13/UART5_RTS_M2/I2C3_SCL_M2/GPIO3_D1_d,6,I/O,Left
7,VI_CIF_D12/UART5_RX_M2/I2C4_SDA_M2/GPIO3_D0_d,7,I/O,Left
8,VI_CIF_D14/UART5_CTS_M2/I2C3_SDA_M2/GPIO3_D2_d,8,I/O,Left
9,VI_CIF_D15/PWM1_M2/GPIO3_D3_d,9,I/O,Left
10,DVDD_1,10,Power,Left
11,SDMMC0_DET/GPIO3_A1_u,11,I/O,Left
12,SDMMC0_D1/UART2_TX_M0/PWM9_M0/GPIO3_A2_u,12,I/O,Left
13,GPIO4_VCC,13,Power,Left
14,SDMMC0_D0/UART2_RX_M0/PWM8_M0/GPIO3_A3_u,14,I/O,Left
15,SDMMC0_CLK/UART5_RTS_M0/I2C0_SCL_M2/JTAG_LPMCU_TCK_M1/PWM10_M0/GPIO3_A4_d,15,Output,Left
16,SDMMC0_CMD/UART5_CTS_M0/I2C0_SDA_M2/JTAG_LPMCU_TMS_M1/PWM11_IR_M0/GPIO3_A5_u,16,I/O,Left
17,SDMMC0_D3/UART5_TX_M0/JTAG_CPU_TMS_M0/JTAG_HPMCU_TMS_M1/GPIO3_A6_u,17,I/O,Left
18,SDMMC0_D2/UART5_RX_M0/JTAG_CPU_TCK_M0/JTAG_HPMCU_TCK_M1/GPIO3_A7_u,18,I/O,Left
19,RTC_AVDD3V3,19,Power,Left
20,RTC_XOUT,20,Output,Left
21,RTC_XIN,21,Input,Left
22,SARADC_IN1/PWM1_M1/GPI4_C1_z,22,Input,Left
23,SARADC_IN0/GPI4_C0_z,23,Input,Left
24,SARADC_USB_AVDD1V8,24,Power,Left
25,USB_VBUSDET,25,Input,Left
26,USB_DM,26,I/O,Left
27,USB_DP,27,I/O,Left
28,USB_AVDD3V3,28,Power,Left
29,CODEC_LINEOUT,29,Output,Left
30,CODEC_VCM,30,Power,Left
31,CODEC_AVDD1V8,31,Power,Left
32,CODEC_MICBIAS,32,Output,Left
33,CODEC_MIC0N,33,Input,Bottom
34,CODEC_MIC0P,34,Input,Bottom
35,CODEC_MIC1N,35,Input,Bottom
36,CODEC_MIC1P,36,Input,Bottom
37,CODEC_AVSS,37,Power,Bottom
38,EMMC_D5/SPI1_CLK_M0/UART1_RX_M2/I2C2_SCL_M1/GPIO4_A7_u,38,I/O,Bottom
39,EMMC_D3/FSPI_D3/GPIO4_A6_u,39,I/O,Bottom
40,EMMC_D4/SPI1_CS0_M0/UART1_TX_M2/I2C2_SDA_M1/GPIO4_A5_u,40,I/O,Bottom
41,EMMC_D0/FSPI_D0/GPIO4_A4_u,41,I/O,Bottom
42,EMMC_D1/FSPI_D1/GPIO4_A3_u,42,I/O,Bottom
43,GPIO3_VCC,43,Power,Bottom
44,EMMC_D2/FSPI_D2/GPIO4_A2_u,44,I/O,Bottom
45,EMMC_D6/SPI1_MOSI_M0/UART0_TX_M2/I2C0_SCL_M1/GPIO4_A1_u,45,I/O,Bottom
46,EMMC_D7/SPI1_MISO_M0/UART0_RX_M2/I2C0_SDA_M1/GPIO4_A0_u,46,I/O,Bottom
47,EMMC_CMD/FSPI_CS0/GPIO4_B0_u,47,I/O,Bottom
48,EMMC_CLK/FSPI_CLK/GPIO4_B1_d,48,Output,Bottom
49,DDR_VDDQ_1,49,Power,Bottom
50,DDR_VDDQ_2,50,Power,Bottom
51,DVDD_2,51,Power,Bottom
52,DRAM_ZQ,52,I/O,Bottom
53,DDR_PLL_AVDD1V8,53,Power,Bottom
54,DVDD_3,54,Power,Bottom
55,DVDD_4,55,Power,Bottom
56,DDR_VDDQ_3,56,Power,Bottom
57,TVSS,57,Power,Bottom
58,UART0_RX_M0/CLK_32K/CLK_REFOUT/RTC_CLKO/GPIO0_A0_z,58,Input,Bottom
59,UART0_TX_M0/PWM2_M0/GPIO0_A1_d,59,Output,Bottom
60,PWM3_IR_M0/GPIO0_A2_d,60,Output,Bottom
61,PMU_VCC3V3,61,Power,Bottom
62,PMIC_PWR_CTRL_M1/GPIO0_A3_u,62,Output,Bottom
63,PMIC_PWR_CTRL_M0/PWM1_M0/GPIO0_A4_d,63,Output,Bottom
64,I2C1_SCL_M0/UART1_RTS_M0/PWM5_M0/GPIO0_A5_d,64,I/O,Bottom
65,I2C1_SDA_M0/UART1_CTS_M0/PWM6_M0/GPIO0_A6_d,65,I/O,Right
66,nPOR,66,Input,Right
67,PMU_DVDD0V9,67,Power,Right
68,OSC_XIN,68,Input,Right
69,OSC_XOUT,69,Output,Right
70,OSC_AVDD1V8/PLL_AVDD1V8,70,Power,Right
71,OSC_PLL_DVDD,71,Power,Right
72,UART3_TX_M0/I2C2_SCL_M0/PWM7_IR_M0/GPIO1_A0_d,72,Output,Right
73,UART3_RX_M0/I2C2_SDA_M0/PWM4_M0/GPIO1_A1_d,73,Input,Right
74,PWM0_M0/CPU_AVS/VI_CIF_D0_M1/GPIO1_A2_d,74,Output,Right
75,UART1_TX_M0/I2C0_SCL_M0/GPIO1_A3_d,75,Output,Right
76,UART1_RX_M0/I2C0_SDA_M0/GPIO1_A4_d,76,Input,Right
77,UART4_RX_M0/PWM3_IR_M1/GPIO1_B0_d,77,Input,Right
78,UART4_TX_M0/PWM7_IR_M1/SPI1_CS1_M0/VI_CIF_D1_M1/GPIO1_B1_d,78,Output,Right
79,JTAG_CPU_TCK_M1/UART2_TX_M1/JTAG_HPMCU_TCK_M0/JTAG_LPMCU_TCK_M0/GPIO1_B2_d,79,Input,Right
80,JTAG_CPU_TMS_M1/UART2_RX_M1/JTAG_HPMCU_TMS_M0/JTAG_LPMCU_TMS_M0/GPIO1_B3_u,80,I/O,Right
81,GPIO1_VCC3V3,81,Power,Right
82,DVDD_5,82,Power,Right
